season,round,race_name,event_date,country,location,circuit,driver_id,driver_code,driver_number,driver,constructor,grid,finish_position,classified_position,status,points,podium,points_finish
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,bottas,BOT,77,Valtteri Bottas,Mercedes,1,1,1,Finished,25.0,1,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,leclerc,LEC,16,Charles Leclerc,Ferrari,7,2,2,Finished,18.0,1,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,norris,NOR,4,Lando Norris,McLaren,3,3,3,Finished,16.0,1,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,hamilton,HAM,44,Lewis Hamilton,Mercedes,5,4,4,Finished,12.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,sainz,SAI,55,Carlos Sainz,McLaren,8,5,5,Finished,10.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,perez,PER,11,Sergio Pérez,Racing Point,6,6,6,Finished,8.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,gasly,GAS,10,Pierre Gasly,AlphaTauri,12,7,7,Finished,6.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,ocon,OCO,31,Esteban Ocon,Renault,14,8,8,Finished,4.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,18,9,9,Finished,2.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,vettel,VET,5,Sebastian Vettel,Ferrari,11,10,10,Finished,1.0,0,1
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,latifi,LAT,6,Nicholas Latifi,Williams,20,11,11,Finished,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,13,12,12,Suspension,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,albon,ALB,23,Alexander Albon,Red Bull,4,13,13,Electronics,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,19,14,R,Wheel,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,russell,RUS,63,George Russell,Williams,17,15,R,Fuel pressure,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,15,16,R,Brakes,0.0,0,0
