season,round,race_name,event_date,country,location,circuit,driver_id,driver_code,driver_number,driver,constructor,grid,finish_position,classified_position,status,points,podium,points_finish
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,16,17,R,Brakes,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,stroll,STR,18,Lance Stroll,Racing Point,9,18,R,Engine,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,ricciardo,RIC,3,Daniel Ricciardo,Renault,10,19,R,Overheating,0.0,0,0
2020,1,Austrian Grand Prix,2020-07-05,Austria,Spielberg,Red Bull Ring,max_verstappen,VER,33,Max Verstappen,Red Bull,2,20,R,Electronics,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,1,1,Finished,25.0,1,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,bottas,BOT,77,Valtteri Bottas,Mercedes,4,2,2,Finished,18.0,1,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,max_verstappen,VER,33,Max Verstappen,Red Bull,2,3,3,Finished,15.0,1,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,albon,ALB,23,Alexander Albon,Red Bull,6,4,4,Finished,12.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,norris,NOR,4,Lando Norris,McLaren,9,5,5,Finished,10.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,perez,PER,11,Sergio Pérez,Racing Point,17,6,6,Finished,8.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,stroll,STR,18,Lance Stroll,Racing Point,12,7,7,Finished,6.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,ricciardo,RIC,3,Daniel Ricciardo,Renault,8,8,8,Finished,4.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,sainz,SAI,55,Carlos Sainz,McLaren,3,9,9,+1 Lap,3.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,13,10,10,+1 Lap,1.0,0,1
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,16,11,11,+1 Lap,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,15,12,12,+1 Lap,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,0,13,13,+1 Lap,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,19,14,14,+1 Lap,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,gasly,GAS,10,Pierre Gasly,AlphaTauri,7,15,15,+1 Lap,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,russell,RUS,63,George Russell,Williams,11,16,16,+2 Laps,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,latifi,LAT,6,Nicholas Latifi,Williams,18,17,17,+2 Laps,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,ocon,OCO,31,Esteban Ocon,Renault,5,18,R,Overheating,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,leclerc,LEC,16,Charles Leclerc,Ferrari,14,19,R,Collision damage,0.0,0,0
2020,2,Styrian Grand Prix,2020-07-12,Austria,Spielberg,Red Bull Ring,vettel,VET,5,Sebastian Vettel,Ferrari,10,20,R,Collision damage,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,1,1,Finished,26.0,1,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,max_verstappen,VER,33,Max Verstappen,Red Bull,7,2,2,Finished,18.0,1,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,bottas,BOT,77,Valtteri Bottas,Mercedes,2,3,3,Finished,15.0,1,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,stroll,STR,18,Lance Stroll,Racing Point,3,4,4,Finished,12.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,albon,ALB,23,Alexander Albon,Red Bull,13,5,5,Finished,10.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,vettel,VET,5,Sebastian Vettel,Ferrari,5,6,6,+1 Lap,8.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,perez,PER,11,Sergio Pérez,Racing Point,4,7,7,+1 Lap,6.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,ricciardo,RIC,3,Daniel Ricciardo,Renault,11,8,8,+1 Lap,4.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,sainz,SAI,55,Carlos Sainz,McLaren,9,9,9,+1 Lap,2.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,0,10,10,+1 Lap,1.0,0,1
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,leclerc,LEC,16,Charles Leclerc,Ferrari,6,11,11,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,17,12,12,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,norris,NOR,4,Lando Norris,McLaren,8,13,13,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,ocon,OCO,31,Esteban Ocon,Renault,14,14,14,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,20,15,15,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,0,16,16,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,19,17,17,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,russell,RUS,63,George Russell,Williams,12,18,18,+1 Lap,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,latifi,LAT,6,Nicholas Latifi,Williams,15,19,19,+5 Laps,0.0,0,0
2020,3,Hungarian Grand Prix,2020-07-19,Hungary,Budapest,Hungaroring,gasly,GAS,10,Pierre Gasly,AlphaTauri,10,20,R,Engine,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,1,1,Finished,25.0,1,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,max_verstappen,VER,33,Max Verstappen,Red Bull,3,2,2,Finished,19.0,1,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,leclerc,LEC,16,Charles Leclerc,Ferrari,4,3,3,Finished,15.0,1,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,ricciardo,RIC,3,Daniel Ricciardo,Renault,8,4,4,Finished,12.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,norris,NOR,4,Lando Norris,McLaren,5,5,5,Finished,10.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,ocon,OCO,31,Esteban Ocon,Renault,9,6,6,Finished,8.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,gasly,GAS,10,Pierre Gasly,AlphaTauri,11,7,7,Finished,6.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,albon,ALB,23,Alexander Albon,Red Bull,12,8,8,Finished,4.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,stroll,STR,18,Lance Stroll,Racing Point,6,9,9,Finished,2.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,vettel,VET,5,Sebastian Vettel,Ferrari,10,10,10,Finished,1.0,0,1
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,bottas,BOT,77,Valtteri Bottas,Mercedes,2,11,11,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,russell,RUS,63,George Russell,Williams,20,12,12,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,sainz,SAI,55,Carlos Sainz,McLaren,7,13,13,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,15,14,14,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,latifi,LAT,6,Nicholas Latifi,Williams,18,15,15,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,17,16,16,Finished,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,16,17,17,+1 Lap,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,19,18,R,Accident,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,14,19,R,Collision,0.0,0,0
2020,4,British Grand Prix,2020-08-02,UK,Silverstone,Silverstone Circuit,hulkenberg,HUL,27,Nico Hülkenberg,Racing Point,13,20,W,Power Unit,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,max_verstappen,VER,33,Max Verstappen,Red Bull,4,1,1,Finished,25.0,1,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,hamilton,HAM,44,Lewis Hamilton,Mercedes,2,2,2,Finished,19.0,1,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,bottas,BOT,77,Valtteri Bottas,Mercedes,1,3,3,Finished,15.0,1,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,leclerc,LEC,16,Charles Leclerc,Ferrari,8,4,4,Finished,12.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,albon,ALB,23,Alexander Albon,Red Bull,9,5,5,Finished,10.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,stroll,STR,18,Lance Stroll,Racing Point,6,6,6,Finished,8.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,hulkenberg,HUL,27,Nico Hülkenberg,Racing Point,3,7,7,Finished,6.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,ocon,OCO,31,Esteban Ocon,Renault,14,8,8,Finished,4.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,norris,NOR,4,Lando Norris,McLaren,10,9,9,Finished,2.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,16,10,10,Finished,1.0,0,1
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,gasly,GAS,10,Pierre Gasly,AlphaTauri,7,11,11,Finished,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,vettel,VET,5,Sebastian Vettel,Ferrari,11,12,12,Finished,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,sainz,SAI,55,Carlos Sainz,McLaren,12,13,13,Finished,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,ricciardo,RIC,3,Daniel Ricciardo,Renault,5,14,14,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,20,15,15,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,13,16,16,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,19,17,17,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,russell,RUS,63,George Russell,Williams,15,18,18,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,latifi,LAT,6,Nicholas Latifi,Williams,18,19,19,+1 Lap,0.0,0,0
2020,5,70th Anniversary Grand Prix,2020-08-09,UK,Silverstone,Silverstone Circuit,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,17,20,R,Retired,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,1,1,Finished,25.0,1,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,max_verstappen,VER,33,Max Verstappen,Red Bull,3,2,2,Finished,18.0,1,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,bottas,BOT,77,Valtteri Bottas,Mercedes,2,3,3,Finished,16.0,1,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,stroll,STR,18,Lance Stroll,Racing Point,5,4,4,+1 Lap,12.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,perez,PER,11,Sergio Pérez,Racing Point,4,5,5,+1 Lap,10.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,sainz,SAI,55,Carlos Sainz,McLaren,7,6,6,+1 Lap,8.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,vettel,VET,5,Sebastian Vettel,Ferrari,11,7,7,+1 Lap,6.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,albon,ALB,23,Alexander Albon,Red Bull,6,8,8,+1 Lap,4.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,gasly,GAS,10,Pierre Gasly,AlphaTauri,10,9,9,+1 Lap,2.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,norris,NOR,4,Lando Norris,McLaren,8,10,10,+1 Lap,1.0,0,1
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,ricciardo,RIC,3,Daniel Ricciardo,Renault,13,11,11,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,12,12,12,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,ocon,OCO,31,Esteban Ocon,Renault,15,13,13,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,14,14,14,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,16,15,15,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,20,16,16,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,russell,RUS,63,George Russell,Williams,18,17,17,+1 Lap,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,latifi,LAT,6,Nicholas Latifi,Williams,19,18,18,+2 Laps,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,17,19,19,+2 Laps,0.0,0,0
2020,6,Spanish Grand Prix,2020-08-16,Spain,Barcelona,Circuit de Barcelona-Catalunya,leclerc,LEC,16,Charles Leclerc,Ferrari,9,20,R,Electronics,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,1,1,Finished,25.0,1,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,bottas,BOT,77,Valtteri Bottas,Mercedes,2,2,2,Finished,18.0,1,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,max_verstappen,VER,33,Max Verstappen,Red Bull,3,3,3,Finished,15.0,1,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,ricciardo,RIC,3,Daniel Ricciardo,Renault,4,4,4,Finished,13.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,ocon,OCO,31,Esteban Ocon,Renault,6,5,5,Finished,10.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,albon,ALB,23,Alexander Albon,Red Bull,5,6,6,Finished,8.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,norris,NOR,4,Lando Norris,McLaren,10,7,7,Finished,6.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,gasly,GAS,10,Pierre Gasly,AlphaTauri,12,8,8,Finished,4.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,stroll,STR,18,Lance Stroll,Racing Point,9,9,9,Finished,2.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,perez,PER,11,Sergio Pérez,Racing Point,8,10,10,Finished,1.0,0,1
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,11,11,11,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,16,12,12,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,vettel,VET,5,Sebastian Vettel,Ferrari,14,13,13,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,leclerc,LEC,16,Charles Leclerc,Ferrari,13,14,14,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,17,15,15,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,latifi,LAT,6,Nicholas Latifi,Williams,19,16,16,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,20,17,17,Finished,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,18,18,R,Accident,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,russell,RUS,63,George Russell,Williams,15,19,R,Debris,0.0,0,0
2020,7,Belgian Grand Prix,2020-08-30,Belgium,Spa,Circuit de Spa-Francorchamps,sainz,SAI,55,Carlos Sainz,McLaren,7,20,W,Exhaust,0.0,0,0
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,gasly,GAS,10,Pierre Gasly,AlphaTauri,10,1,1,Finished,25.0,1,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,sainz,SAI,55,Carlos Sainz,McLaren,3,2,2,Finished,18.0,1,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,stroll,STR,18,Lance Stroll,Racing Point,8,3,3,Finished,15.0,1,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,norris,NOR,4,Lando Norris,McLaren,6,4,4,Finished,12.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,bottas,BOT,77,Valtteri Bottas,Mercedes,2,5,5,Finished,10.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,ricciardo,RIC,3,Daniel Ricciardo,Renault,7,6,6,Finished,8.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,7,7,Finished,7.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,ocon,OCO,31,Esteban Ocon,Renault,12,8,8,Finished,4.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,kvyat,KVY,26,Daniil Kvyat,AlphaTauri,11,9,9,Finished,2.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,perez,PER,11,Sergio Pérez,Racing Point,4,10,10,Finished,1.0,0,1
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,latifi,LAT,6,Nicholas Latifi,Williams,20,11,11,Finished,0.0,0,0
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,16,12,12,Finished,0.0,0,0
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,14,13,13,Finished,0.0,0,0
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,russell,RUS,63,George Russell,Williams,19,14,14,Finished,0.0,0,0
2020,8,Italian Grand Prix,2020-09-06,Italy,Monza,Autodromo Nazionale di Monza,albon,ALB,23,Alexander Albon,Red Bull,9,15,15,Finished,0.0,0,0
