season,round,race_name,event_date,country,location,circuit,driver_id,driver_code,driver_number,driver,constructor,grid,finish_position,classified_position,status,points,podium,points_finish
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,bottas,BOT,77,Valtteri Bottas,Mercedes,2,1,1,Finished,26.0,1,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,hamilton,HAM,44,Lewis Hamilton,Mercedes,1,2,2,Finished,18.0,1,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,max_verstappen,VER,33,Max Verstappen,Red Bull,4,3,3,Finished,15.0,1,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,vettel,VET,5,Sebastian Vettel,Ferrari,3,4,4,Finished,12.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,leclerc,LEC,16,Charles Leclerc,Ferrari,5,5,5,Finished,10.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,7,6,6,Finished,8.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,hulkenberg,HUL,27,Nico Hülkenberg,Renault,11,7,7,+1 Lap,6.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,9,8,8,+1 Lap,4.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,stroll,STR,18,Lance Stroll,Racing Point,16,9,9,+1 Lap,2.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,kvyat,KVY,26,Daniil Kvyat,Toro Rosso,15,10,10,+1 Lap,1.0,0,1
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,gasly,GAS,10,Pierre Gasly,Red Bull,17,11,11,+1 Lap,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,norris,NOR,4,Lando Norris,McLaren,8,12,12,+1 Lap,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,perez,PER,11,Sergio Pérez,Racing Point,10,13,13,+1 Lap,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,albon,ALB,23,Alexander Albon,Toro Rosso,13,14,14,+1 Lap,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,14,15,15,+1 Lap,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,russell,RUS,63,George Russell,Williams,19,16,16,+2 Laps,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,kubica,KUB,88,Robert Kubica,Williams,20,17,17,+3 Laps,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,grosjean,GRO,8,Romain Grosjean,Haas F1 Team,6,18,R,Wheel,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,ricciardo,RIC,3,Daniel Ricciardo,Renault,12,19,R,Damage,0.0,0,0
2019,1,Australian Grand Prix,2019-03-17,Australia,Melbourne,Albert Park Grand Prix Circuit,sainz,SAI,55,Carlos Sainz,McLaren,18,20,R,Engine,0.0,0,0
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,hamilton,HAM,44,Lewis Hamilton,Mercedes,3,1,1,Finished,25.0,1,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,bottas,BOT,77,Valtteri Bottas,Mercedes,4,2,2,Finished,18.0,1,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,leclerc,LEC,16,Charles Leclerc,Ferrari,1,3,3,Finished,16.0,1,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,max_verstappen,VER,33,Max Verstappen,Red Bull,5,4,4,Finished,12.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,vettel,VET,5,Sebastian Vettel,Ferrari,2,5,5,Finished,10.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,norris,NOR,4,Lando Norris,McLaren,9,6,6,Finished,8.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,raikkonen,RAI,7,Kimi Räikkönen,Alfa Romeo,8,7,7,Finished,6.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,gasly,GAS,10,Pierre Gasly,Red Bull,13,8,8,Finished,4.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,albon,ALB,23,Alexander Albon,Toro Rosso,12,9,9,Finished,2.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,perez,PER,11,Sergio Pérez,Racing Point,14,10,10,Finished,1.0,0,1
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,giovinazzi,GIO,99,Antonio Giovinazzi,Alfa Romeo,16,11,11,Finished,0.0,0,0
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,kvyat,KVY,26,Daniil Kvyat,Toro Rosso,15,12,12,+1 Lap,0.0,0,0
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,kevin_magnussen,MAG,20,Kevin Magnussen,Haas F1 Team,6,13,13,+1 Lap,0.0,0,0
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,stroll,STR,18,Lance Stroll,Racing Point,18,14,14,+1 Lap,0.0,0,0
2019,2,Bahrain Grand Prix,2019-03-31,Bahrain,Sakhir,Bahrain International Circuit,russell,RUS,63,George Russell,Williams,19,15,15,+1 Lap,0.0,0,0
